Age,Gender,EducationLevel,JobTitle,YearsOfExperience,Salary
46,Male,Master's Degree,Content Marketing Manager,16,160000
33,Female,Master's Degree,Content Marketing Manager,6,75000
43,Male,Master's Degree,Content Marketing Manager,16,160000
50,Female,Master's Degree,Content Marketing Manager,15,150000
32,Female,Bachelor's Degree,Content Marketing Manager,7,90000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
42,Male,phd,Content Marketing Manager,15,150000
43,Male,Bachelor's Degree,Content Marketing Manager,14,140000
50,Female,Master's Degree,Content Marketing Manager,18,180000
32,Female,Bachelor's Degree,Content Marketing Manager,7,90000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
41,Male,Bachelor's Degree,Content Marketing Manager,12,120000
50,Female,Master's Degree,Content Marketing Manager,19,190000
43,Male,phd,Content Marketing Manager,16,160000
44,Male,Bachelor's Degree,Content Marketing Manager,15,150000
51,Female,Master's Degree,Content Marketing Manager,19,190000
33,Female,Bachelor's Degree,Content Marketing Manager,7,90000
42,Male,Bachelor's Degree,Content Marketing Manager,13,130000
51,Female,Master's Degree,Content Marketing Manager,19,190000
33,Female,Bachelor's Degree,Content Marketing Manager,7,90000
42,Male,Bachelor's Degree,Content Marketing Manager,13,130000
51,Female,Master's Degree,Content Marketing Manager,19,190000
33,Female,Bachelor's Degree,Content Marketing Manager,7,90000
42,Male,Bachelor's Degree,Content Marketing Manager,13,130000
51,Female,Master's Degree,Content Marketing Manager,19,190000
33,Female,Bachelor's Degree,Content Marketing Manager,7,90000
42,Female,Master's Degree,Creative Director,14,120000
31,Female,Bachelor's Degree,Customer Service Representative,5,45000
29,Female,High School,Customer Service Representative,3,35000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
25,Female,High School,Customer Service Representative,1,30000
28,Male,Bachelor's Degree,Customer Success Manager,2,40000
28,Female,Master's Degree,Data Analyst,3,65000
41,Female,Master's Degree,Data Analyst,13,80000
27,Female,Bachelor's Degree,Data Analyst,2,110000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
27,Male,Bachelor's Degree,Data Analyst,2,110000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
27,Male,Bachelor's Degree,Data Analyst,2,110000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
27,Male,Bachelor's Degree,Data Analyst,2,110000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
27,Male,Bachelor's Degree,Data Analyst,2,110000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
25,Female,Master's Degree,Data Analyst,1,100000
30,Female,Bachelor's Degree,Data Analyst,5,145000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,110000
23,Male,Bachelor's Degree,Data Analyst,1,95000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Female,Bachelor's Degree,Data Analyst,3,130000
25,Female,Bachelor's Degree,Data Analyst,2,110000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
26,Male,Bachelor's Degree,Data Analyst,3,130000
25,Male,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,125000
24,Male,Bachelor's Degree,Data Analyst,1,95000
26,Male,Bachelor's Degree,Data Analyst,3,130000
23,Male,Bachelor's Degree,Data Analyst,1,90000
26,Male,Bachelor's Degree,Data Analyst,3,135000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,115000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Female,Bachelor's Degree,Data Analyst,3,130000
25,Female,Bachelor's Degree,Data Analyst,2,110000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
26,Male,Bachelor's Degree,Data Analyst,3,130000
25,Male,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
23,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,110000
26,Male,Bachelor's Degree,Data Analyst,3,130000
23,Male,Bachelor's Degree,Data Analyst,1,92000
26,Male,Bachelor's Degree,Data Analyst,3,135000
24,Male,Bachelor's Degree,Data Analyst,1,95000
25,Male,Bachelor's Degree,Data Analyst,2,115000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Female,Bachelor's Degree,Data Analyst,3,130000
25,Female,Bachelor's Degree,Data Analyst,2,110000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,90000
26,Male,Bachelor's Degree,Data Analyst,3,130000
25,Male,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
25,Male,Bachelor's Degree,Data Analyst,3,135000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,95000
26,Male,Bachelor's Degree,Data Analyst,3,130000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Female,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Male,Bachelor's Degree,Data Analyst,2,115000
26,Male,Bachelor's Degree,Data Analyst,3,130000
30,Male,Bachelor's Degree,Data Analyst,5,160000
24,Male,Bachelor's Degree,Data Analyst,1,92000
26,Male,Bachelor's Degree,Data Analyst,3,130000
25,Male,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
31,Male,Bachelor's Degree,Data Analyst,9,195000
26,Male,Bachelor's Degree,Data Analyst,3,130000
24,Male,Bachelor's Degree,Data Analyst,1,90000
25,Female,Bachelor's Degree,Data Analyst,2,110000
32,Male,Bachelor's Degree,Data Analyst,5,135000
36,Male,Bachelor's Degree,Data Analyst,9,162000
33,Male,Bachelor's Degree,Data Analyst,7,142000
29,Female,Master's Degree,Data Analyst,6,150000
30,Male,Bachelor's Degree,Data Analyst,5,140000
24,Male,Bachelor's Degree,Data Analyst,2,100000
26,Male,Bachelor's Degree,Data Analyst,3,120000
31,Male,Bachelor's Degree,Data Analyst,9,190000
26,Female,Bachelor's Degree,Data Analyst,3,120000
24,Male,Bachelor's Degree,Data Analyst,2,95000
25,Male,Bachelor's Degree,Data Analyst,2,100000
26,Male,Bachelor's Degree,Data Analyst,3,120000
30,Male,Bachelor's Degree,Data Analyst,5,140000
24,Male,Bachelor's Degree,Data Analyst,2,95000
26,Male,Bachelor's Degree,Data Analyst,3,120000
